Rank on List,Ethnicity,Gender,Race,Project Type,VI Score,Household Type
1,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,7,Household with Children
2,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,13,Household with Children
3,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,11,Household with Children
4,Non-Hispanic/Non-Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",PSH,16,Household with Children
5,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,13,Household with Children
6,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,10,Household with Children
7,Non-Hispanic/Non-Latin(a)(o)(x),Male,Multi-Racial,PSH,11,Household with Children
8,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,10,Household with Children
9,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,16,Household with Children
10,Hispanic/Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",PSH,6,Household with Children
11,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,18,Household with Children
12,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,9,Household with Children
13,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,10,Household with Children
14,Non-Hispanic/Non-Latin(a)(o)(x),Male,Multi-Racial,PSH,9,Household with Children
15,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,15,Household with Children
16,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,10,Household with Children
17,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,7,Household with Children
18,Non-Hispanic/Non-Latin(a)(o)(x),Male,"Black, African American, or African",PSH,8,Household with Children
19,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,12,Household with Children
20,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,16,Household with Children
21,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,9,Household with Children
22,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,9,Household with Children
23,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,8,Household with Children
24,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,4,Household with Children
25,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,11,Household with Children
26,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,9,Household with Children
27,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,8,Household with Children
28,Non-Hispanic/Non-Latin(a)(o)(x),Male,"Black, African American, or African",PSH,7,Household with Children
29,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,10,Household with Children
30,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,12,Household with Children
31,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,5,Household with Children
32,Hispanic/Latin(a)(o)(x),Female,Multi-Racial,PSH,9,Household with Children
33,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,6,Household with Children
34,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,15,Household with Children
35,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,13,Household with Children
36,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,14,Household with Children
37,Non-Hispanic/Non-Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",PSH,15,Household with Children
38,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,13,Household with Children
39,Non-Hispanic/Non-Latin(a)(o)(x),Male,Multi-Racial,PSH,19,Household with Children
40,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,19,Household with Children
41,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,16,Household with Children
42,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,15,Household with Children
43,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,14,Household with Children
44,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,14,Household with Children
45,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,14,Household with Children
46,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,14,Household with Children
47,Non-Hispanic/Non-Latin(a)(o)(x),Male,White,PSH,13,Household with Children
48,Hispanic/Latin(a)(o)(x),Female,White,PSH,13,Household with Children
49,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,13,Household with Children
50,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,13,Household with Children
51,Hispanic/Latin(a)(o)(x),Transgender,Multi-Racial,PSH,13,Household with Children
52,Non-Hispanic/Non-Latin(a)(o)(x),Female,"American Indian, Alaska Native, or Indigenous",PSH,13,Household with Children
53,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,13,Household with Children
54,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,13,Household with Children
55,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,13,Household with Children
56,Non-Hispanic/Non-Latin(a)(o)(x),Female,"Black, African American, or African",PSH,12,Household with Children
57,Client refused,Female,Client refused,PSH,12,Household with Children
58,Non-Hispanic/Non-Latin(a)(o)(x),Female,White,PSH,12,Household with Children
59,Non-Hispanic/Non-Latin(a)(o)(x),Female,Multi-Racial,PSH,12,Household with Children
